Year,Month,CHL,SST
2013,Mar,AQUA_MODIS.20130301_20130331.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20130301_20130331.L3m.MO.SST.sst.4km.nc
2013,Apr,AQUA_MODIS.20130401_20130430.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20130401_20130430.L3m.MO.SST.sst.4km.nc
2013,May,AQUA_MODIS.20130501_20130531.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20130501_20130531.L3m.MO.SST.sst.4km.nc
2013,Jun,AQUA_MODIS.20130601_20130630.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20130601_20130630.L3m.MO.SST.sst.4km.nc
2013,Jul,AQUA_MODIS.20130701_20130731.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20130701_20130731.L3m.MO.SST.sst.4km.nc
2013,Aug,AQUA_MODIS.20130801_20130831.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20130801_20130831.L3m.MO.SST.sst.4km.nc
2013,Sep,AQUA_MODIS.20130901_20130930.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20130901_20130930.L3m.MO.SST.sst.4km.nc
2013,Oct,AQUA_MODIS.20131001_20131031.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20131001_20131031.L3m.MO.SST.sst.4km.nc
2013,Nov,AQUA_MODIS.20131101_20131130.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20131101_20131130.L3m.MO.SST.sst.4km.nc
2013,Dec,AQUA_MODIS.20131201_20131231.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20131201_20131231.L3m.MO.SST.sst.4km.nc
2014,Jan,AQUA_MODIS.20140101_20140131.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20140101_20140131.L3m.MO.SST.sst.4km.nc
2014,Feb,AQUA_MODIS.20140201_20140228.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20140201_20140228.L3m.MO.SST.sst.4km.nc
2014,Mar,AQUA_MODIS.20140301_20140331.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20140301_20140331.L3m.MO.SST.sst.4km.nc
2014,Apr,AQUA_MODIS.20140401_20140430.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20140401_20140430.L3m.MO.SST.sst.4km.nc
2014,May,AQUA_MODIS.20140501_20140531.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20140501_20140531.L3m.MO.SST.sst.4km.nc
2014,Jun,AQUA_MODIS.20140601_20140630.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20140601_20140630.L3m.MO.SST.sst.4km.nc
2014,Jul,AQUA_MODIS.20140701_20140731.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20140701_20140731.L3m.MO.SST.sst.4km.nc
2014,Aug,AQUA_MODIS.20140801_20140831.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20140801_20140831.L3m.MO.SST.sst.4km.nc
2014,Sep,AQUA_MODIS.20140901_20140930.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20140901_20140930.L3m.MO.SST.sst.4km.nc
2014,Oct,AQUA_MODIS.20141001_20141031.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20141001_20141031.L3m.MO.SST.sst.4km.nc
2014,Nov,AQUA_MODIS.20141101_20141130.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20141101_20141130.L3m.MO.SST.sst.4km.nc
2014,Dec,AQUA_MODIS.20141201_20141231.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20141201_20141231.L3m.MO.SST.sst.4km.nc
2015,Jan,AQUA_MODIS.20150101_20150131.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20150101_20150131.L3m.MO.SST.sst.4km.nc
2015,Feb,AQUA_MODIS.20150201_20150228.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20150201_20150228.L3m.MO.SST.sst.4km.nc
2015,Mar,AQUA_MODIS.20150301_20150331.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20150301_20150331.L3m.MO.SST.sst.4km.nc
2015,Apr,AQUA_MODIS.20150401_20150430.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20150401_20150430.L3m.MO.SST.sst.4km.nc
2015,May,AQUA_MODIS.20150501_20150531.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20150501_20150531.L3m.MO.SST.sst.4km.nc
2015,Jun,AQUA_MODIS.20150601_20150630.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20150601_20150630.L3m.MO.SST.sst.4km.nc
2015,Jul,AQUA_MODIS.20150701_20150731.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20150701_20150731.L3m.MO.SST.sst.4km.nc
2015,Aug,AQUA_MODIS.20150801_20150831.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20150801_20150831.L3m.MO.SST.sst.4km.nc
2015,Sep,AQUA_MODIS.20150901_20150930.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20150901_20150930.L3m.MO.SST.sst.4km.nc
2015,Oct,AQUA_MODIS.20151001_20151031.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20151001_20151031.L3m.MO.SST.sst.4km.nc
2015,Nov,AQUA_MODIS.20151101_20151130.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20151101_20151130.L3m.MO.SST.sst.4km.nc
2015,Dec,AQUA_MODIS.20151201_20151231.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20151201_20151231.L3m.MO.SST.sst.4km.nc
2016,Jan,AQUA_MODIS.20160101_20160131.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20160101_20160131.L3m.MO.SST.sst.4km.nc
2016,Feb,AQUA_MODIS.20160201_20160229.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20160201_20160229.L3m.MO.SST.sst.4km.nc
2016,Mar,AQUA_MODIS.20160301_20160331.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20160301_20160331.L3m.MO.SST.sst.4km.nc
2016,Apr,AQUA_MODIS.20160401_20160430.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20160401_20160430.L3m.MO.SST.sst.4km.nc
2016,May,AQUA_MODIS.20160501_20160531.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20160501_20160531.L3m.MO.SST.sst.4km.nc
2016,Jun,AQUA_MODIS.20160601_20160630.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20160601_20160630.L3m.MO.SST.sst.4km.nc
2016,Jul,AQUA_MODIS.20160701_20160731.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20160701_20160731.L3m.MO.SST.sst.4km.nc
2016,Aug,AQUA_MODIS.20160801_20160831.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20160801_20160831.L3m.MO.SST.sst.4km.nc
2016,Sep,AQUA_MODIS.20160901_20160930.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20160901_20160930.L3m.MO.SST.sst.4km.nc
2016,Oct,AQUA_MODIS.20161001_20161031.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20161001_20161031.L3m.MO.SST.sst.4km.nc
2016,Nov,AQUA_MODIS.20161101_20161130.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20161101_20161130.L3m.MO.SST.sst.4km.nc
2016,Dec,AQUA_MODIS.20161201_20161231.L3m.MO.CHL.chlor_a.4km.nc,AQUA_MODIS.20161201_20161231.L3m.MO.SST.sst.4km.nc
